base,extra,test,majority,num_classes,majority_all
0.25,0.18,0.25,0.23,5,0.2
0.23,0.19,0.23,0.25,5,0.2
0.18,0.25,0.25,0.24,5,0.2
0.23,0.21,0.17,0.27,5,0.2
0.24,0.25,0.25,0.25,5,0.2
0.12,0.14,0.14,0.26,5,0.2
0.18,0.14,0.15,0.29,5,0.2
0.19,0.21,0.2,0.25,5,0.2
0.21,0.17,0.19,0.26,5,0.2
0.16,0.12,0.13,0.27,5,0.2
0.25,0.23,0.23,0.28,5,0.2
0.17,0.1,0.13,0.29,5,0.2
0.2,0.11,0.15,0.29,5,0.2
0.32,0.28,0.16,0.29,5,0.2
0.18,0.22,0.21,0.26,5,0.2
0.21,0.21,0.19,0.28,5,0.2
0.23,0.22,0.24,0.22,5,0.2
0.22,0.14,0.12,0.24,5,0.2
0.21,0.22,0.23,0.22,5,0.2
0.21,0.17,0.21,0.23,5,0.2
0.23,0.2,0.16,0.27,5,0.2
0.26,0.29,0.2,0.25,5,0.2
0.16,0.19,0.17,0.29,5,0.2
0.27,0.23,0.23,0.27,5,0.2
0.18,0.22,0.21,0.25,5,0.2
0.27,0.27,0.29,0.23,5,0.2
0.21,0.23,0.23,0.24,5,0.2
0.16,0.14,0.17,0.22,5,0.2
0.15,0.18,0.17,0.28,5,0.2
0.18,0.19,0.17,0.21,5,0.2
0.22,0.24,0.19,0.28,5,0.2
0.23,0.23,0.21,0.27,5,0.2
0.22,0.23,0.17,0.23,5,0.2
0.12,0.19,0.18,0.28,5,0.2
0.27,0.25,0.27,0.28,5,0.2
0.25,0.25,0.26,0.26,5,0.2
0.26,0.28,0.26,0.26,5,0.2
0.19,0.22,0.18,0.29,5,0.2
0.28,0.24,0.27,0.25,5,0.2
0.25,0.2,0.18,0.23,5,0.2
0.23,0.26,0.25,0.27,5,0.2
0.22,0.22,0.18,0.25,5,0.2
0.13,0.17,0.16,0.25,5,0.2
0.25,0.24,0.21,0.24,5,0.2
0.16,0.18,0.18,0.24,5,0.2
0.19,0.24,0.18,0.23,5,0.2
0.26,0.24,0.22,0.24,5,0.2
0.25,0.27,0.23,0.25,5,0.2
0.17,0.14,0.1,0.24,5,0.2
0.19,0.26,0.18,0.28,5,0.2
0.22,0.19,0.19,0.22,5,0.2
0.22,0.17,0.17,0.24,5,0.2
0.16,0.15,0.14,0.25,5,0.2
0.23,0.16,0.16,0.31,5,0.2
0.25,0.17,0.17,0.22,5,0.2
0.16,0.17,0.21,0.26,5,0.2
0.22,0.21,0.19,0.25,5,0.2
0.22,0.21,0.25,0.24,5,0.2
0.18,0.26,0.21,0.27,5,0.2
0.28,0.26,0.21,0.23,5,0.2
0.28,0.28,0.25,0.28,5,0.2
0.21,0.22,0.26,0.25,5,0.2
0.21,0.22,0.19,0.24,5,0.2
0.3,0.3,0.32,0.31,5,0.2
0.18,0.15,0.19,0.24,5,0.2
0.19,0.19,0.16,0.23,5,0.2
0.2,0.23,0.21,0.22,5,0.2
0.14,0.14,0.19,0.25,5,0.2
0.28,0.26,0.27,0.28,5,0.2
0.33,0.29,0.29,0.28,5,0.2
0.23,0.28,0.27,0.24,5,0.2
0.22,0.22,0.2,0.23,5,0.2
0.23,0.19,0.19,0.25,5,0.2
0.23,0.28,0.23,0.24,5,0.2
0.19,0.23,0.24,0.22,5,0.2
0.22,0.23,0.27,0.24,5,0.2
0.17,0.16,0.19,0.23,5,0.2
0.25,0.2,0.22,0.27,5,0.2
0.21,0.18,0.17,0.24,5,0.2
0.21,0.28,0.19,0.26,5,0.2
0.2,0.18,0.21,0.24,5,0.2
0.15,0.18,0.19,0.28,5,0.2
0.23,0.22,0.2,0.24,5,0.2
0.17,0.21,0.16,0.29,5,0.2
0.15,0.18,0.26,0.28,5,0.2
0.18,0.19,0.18,0.23,5,0.2
0.15,0.24,0.24,0.24,5,0.2
0.22,0.25,0.23,0.28,5,0.2
0.19,0.21,0.23,0.27,5,0.2
0.13,0.15,0.17,0.25,5,0.2
0.21,0.22,0.18,0.24,5,0.2
0.23,0.25,0.19,0.23,5,0.2
0.19,0.21,0.21,0.26,5,0.2
0.16,0.23,0.21,0.23,5,0.2
0.15,0.12,0.13,0.28,5,0.2
0.24,0.26,0.22,0.25,5,0.2
0.2,0.19,0.19,0.3,5,0.2
0.21,0.2,0.2,0.28,5,0.2
0.23,0.22,0.2,0.25,5,0.2
0.25,0.17,0.23,0.25,5,0.2
