base,extra,test,majority,num_classes,majority_all
0.5,0.4,0.44,0.64,2,0.5228141513929105
0.64,0.58,0.54,0.52,2,0.5228141513929105
0.46,0.52,0.5,0.5,2,0.5228141513929105
0.54,0.54,0.52,0.56,2,0.5228141513929105
0.5,0.46,0.54,0.52,2,0.5228141513929105
0.52,0.56,0.48,0.64,2,0.5228141513929105
0.5,0.46,0.44,0.52,2,0.5228141513929105
0.48,0.56,0.56,0.5,2,0.5228141513929105
0.46,0.4,0.48,0.6,2,0.5228141513929105
0.54,0.52,0.48,0.54,2,0.5228141513929105
0.54,0.52,0.56,0.6,2,0.5228141513929105
0.5,0.54,0.52,0.5,2,0.5228141513929105
0.56,0.58,0.48,0.58,2,0.5228141513929105
0.4,0.38,0.42,0.62,2,0.5228141513929105
0.58,0.66,0.58,0.56,2,0.5228141513929105
0.52,0.5,0.5,0.54,2,0.5228141513929105
0.62,0.6,0.7,0.64,2,0.5228141513929105
0.58,0.66,0.7,0.54,2,0.5228141513929105
0.52,0.54,0.56,0.52,2,0.5228141513929105
0.48,0.52,0.56,0.58,2,0.5228141513929105
0.6,0.54,0.58,0.56,2,0.5228141513929105
0.36,0.46,0.42,0.6,2,0.5228141513929105
0.56,0.62,0.58,0.52,2,0.5228141513929105
0.64,0.7,0.68,0.52,2,0.5228141513929105
0.5,0.46,0.48,0.58,2,0.5228141513929105
0.46,0.44,0.48,0.52,2,0.5228141513929105
0.54,0.48,0.48,0.5,2,0.5228141513929105
0.48,0.48,0.58,0.54,2,0.5228141513929105
0.66,0.66,0.62,0.54,2,0.5228141513929105
0.46,0.52,0.56,0.6,2,0.5228141513929105
0.54,0.58,0.5,0.58,2,0.5228141513929105
0.46,0.6,0.62,0.56,2,0.5228141513929105
0.58,0.64,0.64,0.6,2,0.5228141513929105
0.5,0.46,0.48,0.5,2,0.5228141513929105
0.5,0.54,0.52,0.5,2,0.5228141513929105
0.52,0.54,0.5,0.54,2,0.5228141513929105
0.46,0.48,0.52,0.54,2,0.5228141513929105
0.5,0.6,0.56,0.58,2,0.5228141513929105
0.66,0.58,0.56,0.5,2,0.5228141513929105
0.6,0.44,0.48,0.56,2,0.5228141513929105
0.56,0.5,0.5,0.56,2,0.5228141513929105
0.44,0.54,0.5,0.58,2,0.5228141513929105
0.42,0.46,0.56,0.52,2,0.5228141513929105
0.54,0.48,0.48,0.56,2,0.5228141513929105
0.48,0.48,0.52,0.52,2,0.5228141513929105
0.42,0.46,0.38,0.64,2,0.5228141513929105
0.52,0.48,0.5,0.54,2,0.5228141513929105
0.6,0.64,0.68,0.58,2,0.5228141513929105
0.48,0.48,0.44,0.52,2,0.5228141513929105
0.52,0.56,0.52,0.5,2,0.5228141513929105
0.48,0.46,0.46,0.52,2,0.5228141513929105
0.5,0.46,0.4,0.54,2,0.5228141513929105
0.52,0.5,0.52,0.64,2,0.5228141513929105
0.52,0.54,0.54,0.56,2,0.5228141513929105
0.48,0.5,0.52,0.56,2,0.5228141513929105
0.44,0.48,0.48,0.54,2,0.5228141513929105
0.48,0.48,0.5,0.58,2,0.5228141513929105
0.56,0.52,0.48,0.52,2,0.5228141513929105
0.44,0.54,0.44,0.68,2,0.5228141513929105
0.58,0.54,0.56,0.56,2,0.5228141513929105
0.52,0.5,0.56,0.56,2,0.5228141513929105
0.64,0.56,0.56,0.56,2,0.5228141513929105
0.62,0.58,0.58,0.56,2,0.5228141513929105
0.42,0.46,0.44,0.62,2,0.5228141513929105
0.52,0.54,0.54,0.52,2,0.5228141513929105
0.46,0.6,0.52,0.68,2,0.5228141513929105
0.6,0.64,0.6,0.58,2,0.5228141513929105
0.68,0.5,0.56,0.62,2,0.5228141513929105
0.48,0.46,0.48,0.52,2,0.5228141513929105
0.56,0.58,0.56,0.52,2,0.5228141513929105
0.6,0.56,0.5,0.56,2,0.5228141513929105
0.46,0.5,0.5,0.54,2,0.5228141513929105
0.54,0.48,0.5,0.52,2,0.5228141513929105
0.62,0.72,0.64,0.54,2,0.5228141513929105
0.58,0.58,0.52,0.52,2,0.5228141513929105
0.6,0.6,0.64,0.56,2,0.5228141513929105
0.48,0.54,0.52,0.56,2,0.5228141513929105
0.62,0.62,0.64,0.54,2,0.5228141513929105
0.36,0.36,0.32,0.6,2,0.5228141513929105
0.42,0.42,0.4,0.66,2,0.5228141513929105
0.52,0.44,0.4,0.56,2,0.5228141513929105
0.5,0.52,0.46,0.54,2,0.5228141513929105
0.7,0.66,0.62,0.6,2,0.5228141513929105
0.44,0.56,0.44,0.52,2,0.5228141513929105
0.6,0.56,0.56,0.56,2,0.5228141513929105
0.46,0.48,0.58,0.56,2,0.5228141513929105
0.44,0.5,0.48,0.52,2,0.5228141513929105
0.5,0.46,0.42,0.54,2,0.5228141513929105
0.6,0.56,0.62,0.52,2,0.5228141513929105
0.54,0.52,0.56,0.52,2,0.5228141513929105
0.54,0.54,0.54,0.52,2,0.5228141513929105
0.56,0.38,0.5,0.66,2,0.5228141513929105
0.48,0.46,0.44,0.56,2,0.5228141513929105
0.58,0.54,0.54,0.58,2,0.5228141513929105
0.58,0.62,0.66,0.58,2,0.5228141513929105
0.6,0.6,0.56,0.54,2,0.5228141513929105
0.44,0.56,0.54,0.52,2,0.5228141513929105
0.48,0.46,0.48,0.58,2,0.5228141513929105
0.54,0.5,0.56,0.5,2,0.5228141513929105
0.58,0.56,0.58,0.56,2,0.5228141513929105
